passo,acao,concat
0,4,"[0.05446,0.11904,0.12320,0.10973,0.11370]"
1500,4,"[0.53649,0.59366,0.61214,0.17812,0.18082]"
3000,2,"[0.68398,0.61446,0.62578,0.18419,0.19292]"
4500,3,"[0.58427,0.58254,0.62125,0.26649,0.25340]"
6000,3,"[0.58666,0.61513,0.63659,0.31624,0.31996]"
7500,0,"[0.55016,0.62842,0.61719,0.33926,0.33847]"
9000,2,"[0.67316,0.79805,0.81951,0.33507,0.32282]"
10500,4,"[0.80966,0.93650,0.92881,0.32905,0.32832]"
12000,2,"[0.92722,0.98874,0.98752,0.34314,0.32988]"
13500,3,"[0.94239,0.98925,0.98802,0.33560,0.34531]"
15000,0,"[0.95246,0.97765,0.95577,0.33457,0.33034]"
16500,1,"[0.99781,0.99681,0.99747,0.34166,0.34434]"
18000,2,"[0.99090,1.00000,0.99966,0.33792,0.33573]"
19500,0,"[0.99763,0.97393,0.98801,0.34668,0.33591]"
21000,2,"[0.99966,0.99966,1.00000,0.33995,0.32799]"
22500,4,"[1.00000,1.00000,1.00000,0.33273,0.33674]"
24000,3,"[0.99933,1.00000,1.00000,0.33641,0.34350]"
25500,4,"[1.00000,0.99983,1.00000,0.33591,0.32836]"
27000,2,"[0.99848,0.99378,0.99848,0.34417,0.32973]"
28500,3,"[0.99916,1.00000,0.99966,0.34045,0.36114]"
30000,2,"[1.00000,1.00000,1.00000,0.34437,0.36435]"
31500,0,"[0.99865,0.99882,0.99899,0.34773,0.39356]"
33000,4,"[0.99983,1.00000,1.00000,0.34301,0.40431]"
34500,1,"[0.99966,0.99983,0.99865,0.34218,0.40969]"
36000,0,"[1.00000,1.00000,0.99916,0.37369,0.46276]"
37500,2,"[1.00000,1.00000,1.00000,0.37217,0.46392]"
39000,4,"[0.99983,1.00000,0.99983,0.40333,0.49389]"
40500,0,"[0.99746,0.99832,0.99949,0.41532,0.56927]"
42000,4,"[1.00000,0.99983,1.00000,0.42811,0.59732]"
43500,0,"[0.99966,0.99866,0.99949,0.46399,0.68481]"
45000,2,"[0.99832,1.00000,0.99983,0.46109,0.67943]"
46500,1,"[1.00000,1.00000,0.99983,0.45369,0.68024]"
48000,2,"[1.00000,1.00000,1.00000,0.46663,0.69233]"
49500,4,"[1.00000,0.99950,1.00000,0.49342,0.74572]"
51000,2,"[0.99983,0.99966,0.99983,0.48460,0.73329]"
52500,3,"[0.99949,1.00000,0.99966,0.55658,0.79979]"
54000,3,"[0.99966,0.99983,0.99966,0.60266,0.83103]"
55500,3,"[0.99899,0.99966,0.99949,0.64054,0.86075]"
57000,1,"[0.99882,1.00000,1.00000,0.62235,0.83892]"
58500,0,"[0.99932,0.99966,0.99966,0.66549,0.87974]"
60000,2,"[0.99983,0.99966,0.99983,0.63163,0.85637]"
61500,0,"[0.99966,0.99950,0.99983,0.69326,0.88911]"
63000,2,"[1.00000,0.99983,1.00000,0.68566,0.87198]"
64500,1,"[0.99983,1.00000,1.00000,0.67089,0.85063]"
66000,0,"[0.99949,0.99983,0.99966,0.72910,0.89787]"
67500,3,"[0.99832,0.99916,0.99983,0.73265,0.89348]"
69000,2,"[1.00000,0.99983,0.99983,0.73062,0.88829]"
70500,2,"[1.00000,0.99983,1.00000,0.71516,0.87299]"
72000,4,"[0.99983,1.00000,1.00000,0.73924,0.89533]"
73500,0,"[0.99983,0.99950,1.00000,0.76703,0.90895]"
75000,2,"[1.00000,1.00000,1.00000,0.75452,0.89852]"
76500,1,"[1.00000,1.00000,1.00000,0.71233,0.88996]"
78000,4,"[1.00000,0.99983,1.00000,0.75137,0.91517]"
79500,3,"[0.99983,1.00000,1.00000,0.76935,0.92087]"
81000,1,"[0.99983,0.99966,1.00000,0.76431,0.89936]"
82500,4,"[1.00000,1.00000,1.00000,0.77412,0.92138]"
84000,0,"[0.99966,1.00000,1.00000,0.78368,0.92424]"
85500,2,"[1.00000,1.00000,1.00000,0.77966,0.90779]"
87000,1,"[0.99983,1.00000,1.00000,0.75657,0.89702]"
88500,4,"[1.00000,1.00000,1.00000,0.78943,0.92912]"
90000,3,"[1.00000,1.00000,0.99966,0.81264,0.93129]"
91500,4,"[1.00000,1.00000,0.99966,0.79700,0.92759]"
93000,3,"[0.99983,1.00000,0.99983,0.80358,0.93415]"
94500,3,"[0.99983,1.00000,0.99983,0.82407,0.94171]"
96000,3,"[0.99983,0.99983,0.99966,0.81366,0.93733]"
97500,4,"[1.00000,0.99983,1.00000,0.81532,0.93868]"
99000,2,"[1.00000,1.00000,1.00000,0.80726,0.92642]"
100500,2,"[1.00000,0.99983,1.00000,0.78591,0.91331]"
