passo,acao,concat
0,1,"[0.16698,0.11078,0.10727,0.07815,0.07476]"
1500,1,"[0.51591,0.60000,0.60660,0.16204,0.16198]"
3000,2,"[0.55680,0.59819,0.62075,0.17162,0.17310]"
4500,3,"[0.56606,0.59283,0.61368,0.24845,0.25107]"
6000,1,"[0.66975,0.63349,0.63557,0.23217,0.23117]"
7500,1,"[0.68625,0.64592,0.67330,0.23080,0.22510]"
9000,2,"[0.68357,0.66442,0.68374,0.23616,0.23069]"
10500,4,"[0.69550,0.68601,0.70715,0.24838,0.26760]"
12000,4,"[0.71285,0.75421,0.77099,0.28811,0.28971]"
13500,4,"[0.80762,0.86013,0.86295,0.30896,0.31452]"
15000,4,"[0.95775,0.93705,0.97474,0.32310,0.32176]"
16500,4,"[0.99428,0.98103,0.99411,0.33485,0.33324]"
18000,3,"[0.95675,0.97918,0.98401,0.34461,0.33224]"
19500,1,"[0.99882,0.99933,0.99848,0.34660,0.32936]"
21000,2,"[0.99142,0.98902,0.98923,0.35248,0.33745]"
22500,0,"[0.98130,0.98906,0.97761,0.33602,0.34806]"
24000,2,"[0.99815,0.99916,0.99731,0.34930,0.32902]"
25500,3,"[0.99916,0.99865,0.99562,0.33803,0.34098]"
27000,0,"[0.99849,0.99815,0.99461,0.34359,0.34671]"
28500,4,"[1.00000,0.99983,1.00000,0.33566,0.33810]"
30000,0,"[0.97476,0.99764,0.99427,0.33904,0.35952]"
31500,0,"[0.99714,0.97583,0.99848,0.33754,0.34855]"
33000,4,"[0.99983,1.00000,0.99966,0.34794,0.35887]"
34500,1,"[1.00000,0.99966,1.00000,0.34795,0.34349]"
36000,1,"[0.99849,0.99983,0.99983,0.33368,0.34621]"
37500,1,"[1.00000,1.00000,1.00000,0.33030,0.35125]"
39000,0,"[0.99983,0.99413,0.99933,0.33534,0.37049]"
40500,3,"[1.00000,0.99966,0.99966,0.34712,0.41314]"
42000,1,"[1.00000,1.00000,1.00000,0.34561,0.40539]"
43500,2,"[1.00000,1.00000,1.00000,0.34394,0.39661]"
45000,2,"[0.99882,1.00000,1.00000,0.34896,0.40099]"
46500,3,"[0.99983,0.99966,0.99680,0.36264,0.47351]"
48000,0,"[0.99949,0.99899,0.99882,0.40786,0.56645]"
49500,2,"[0.99983,1.00000,1.00000,0.41575,0.54996]"
51000,4,"[0.99966,1.00000,1.00000,0.46365,0.61119]"
52500,4,"[0.99983,0.99983,1.00000,0.53206,0.64339]"
54000,2,"[1.00000,0.99966,0.99865,0.52380,0.63327]"
55500,3,"[0.99983,0.99983,0.99966,0.62416,0.74353]"
57000,3,"[1.00000,0.99933,0.99966,0.65863,0.78877]"
58500,1,"[1.00000,0.99933,1.00000,0.64670,0.77055]"
60000,1,"[1.00000,1.00000,0.99949,0.63395,0.75856]"
61500,2,"[1.00000,1.00000,0.99983,0.62768,0.75808]"
63000,3,"[0.99916,0.99983,0.99966,0.73779,0.83753]"
64500,2,"[0.99983,1.00000,1.00000,0.71745,0.83182]"
66000,3,"[0.99966,0.99966,0.99966,0.77809,0.87196]"
67500,2,"[1.00000,1.00000,1.00000,0.76449,0.85020]"
69000,0,"[0.99983,0.99966,1.00000,0.81458,0.88848]"
70500,4,"[1.00000,1.00000,1.00000,0.82128,0.89151]"
72000,4,"[1.00000,1.00000,1.00000,0.82768,0.88915]"
73500,4,"[1.00000,1.00000,1.00000,0.83370,0.89590]"
75000,4,"[1.00000,0.99983,0.99983,0.83773,0.90687]"
76500,2,"[1.00000,1.00000,1.00000,0.82095,0.87635]"
78000,1,"[1.00000,1.00000,1.00000,0.80395,0.87954]"
79500,1,"[1.00000,1.00000,1.00000,0.79671,0.85879]"
81000,0,"[1.00000,0.99932,1.00000,0.85841,0.92020]"
82500,1,"[1.00000,1.00000,1.00000,0.85254,0.90789]"
84000,4,"[1.00000,1.00000,1.00000,0.85909,0.91363]"
85500,3,"[0.99950,1.00000,1.00000,0.87909,0.92256]"
87000,2,"[1.00000,0.99983,0.99983,0.85271,0.91109]"
88500,1,"[1.00000,1.00000,1.00000,0.84195,0.90315]"
90000,3,"[1.00000,1.00000,0.99983,0.87758,0.92797]"
91500,0,"[1.00000,1.00000,1.00000,0.88683,0.93977]"
93000,0,"[0.99983,1.00000,1.00000,0.90481,0.94787]"
94500,2,"[0.99966,1.00000,1.00000,0.88852,0.92189]"
96000,2,"[1.00000,1.00000,0.99916,0.85777,0.90839]"
97500,0,"[0.99983,1.00000,1.00000,0.90113,0.94922]"
99000,1,"[1.00000,1.00000,0.99714,0.88683,0.93150]"
100500,0,"[0.99983,1.00000,1.00000,0.92180,0.94450]"
