id,passo,curriculo,accuracy_treinamento,accuracy_teste,acuracy_questao_0,acuracy_questao_1,acuracy_questao_2,acuracy_questao_3,acuracy_questao_4,porcentagem,tipoescolha,acao,rewardexecution,rewardtotal
470,54000,ExecucaoManual_Acao_4_exec_2,0.84,0.915050505050505,1,0.9994929006085193,1,0.7691919191919192,0.8066633013629481,"1,1,1,1,1",manual,2,0,0
469,52500,ExecucaoManual_Acao_4_exec_2,0.82,0.9027272727272727,1,1,1,0.7378787878787879,0.7758707723372035,"1,1,1,1,1",manual,2,0,0
468,51000,ExecucaoManual_Acao_4_exec_2,0.84,0.8818181818181818,1,1,1,0.6823232323232323,0.7269056032306915,"1,1,1,1,1",manual,2,0,0
467,49500,ExecucaoManual_Acao_4_exec_2,0.76,0.8587878787878788,1,1,1,0.6075757575757575,0.6865219586067642,"1,1,1,1,1",manual,2,0,0
466,48000,ExecucaoManual_Acao_4_exec_2,0.72999996,0.8357575757575758,1,1,1,0.5363636363636364,0.6426047450782433,"1,1,1,1,1",manual,2,0,0
465,46500,ExecucaoManual_Acao_4_exec_2,0.69,0.814949494949495,1,1,1,0.47474747474747475,0.6002019182231196,"1,1,1,1,1",manual,2,0,0
464,45000,ExecucaoManual_Acao_4_exec_2,0.66999996,0.7945454545454546,1,1,1,0.43434343434343436,0.5386168601716305,"1,1,1,1,1",manual,2,0,0
463,43500,ExecucaoManual_Acao_4_exec_2,0.66999996,0.7729292929292929,1,1,1,0.40505050505050505,0.4598687531549722,"1,1,1,1,1",manual,2,0,0
462,42000,ExecucaoManual_Acao_4_exec_2,0.65999997,0.7574747474747475,1,1,1,0.3595959595959596,0.42806663301362946,"1,1,1,1,1",manual,2,0,0
461,40500,ExecucaoManual_Acao_4_exec_2,0.58,0.7502020202020202,1,1,1,0.3616161616161616,0.3897021706208985,"1,1,1,1,1",manual,2,0,0
460,39000,ExecucaoManual_Acao_4_exec_2,0.62,0.7456565656565657,1,1,1,0.35909090909090907,0.36951034830893487,"1,1,1,1,1",manual,2,0,0
459,37500,ExecucaoManual_Acao_4_exec_2,0.65999997,0.7401010101010101,1,1,1,0.35808080808080806,0.34275618374558303,"1,1,1,1,1",manual,2,0,0
458,36000,ExecucaoManual_Acao_4_exec_2,0.68,0.743030303030303,1,1,1,0.3560606060606061,0.35941443715295307,"1,1,1,1,1",manual,2,0,0
457,34500,ExecucaoManual_Acao_4_exec_2,0.62,0.7341414141414141,1,1,1,0.3373737373737374,0.3336698637051994,"1,1,1,1,1",manual,2,0,0
456,33000,ExecucaoManual_Acao_4_exec_2,0.59999996,0.742020202020202,1,1,1,0.36464646464646466,0.3457849570923776,"1,1,1,1,1",manual,2,0,0
455,31500,ExecucaoManual_Acao_4_exec_2,0.65,0.7101010101010101,0.9994962216624685,0.9330628803245437,0.9611503531786074,0.3368686868686869,0.32004038364462395,"1,1,1,1,1",manual,2,0,0
454,30000,ExecucaoManual_Acao_4_exec_2,0.64,0.7359595959595959,1,1,0.9984863773965691,0.3419191919191919,0.3397274103987885,"1,1,1,1,1",manual,2,0,0
453,28500,ExecucaoManual_Acao_4_exec_2,0.61,0.7371717171717171,1,1,1,0.35454545454545455,0.331650681474003,"1,1,1,1,1",manual,2,0,0
452,27000,ExecucaoManual_Acao_4_exec_2,0.61,0.7337373737373737,1,1,1,0.34545454545454546,0.32357395254921756,"1,1,1,1,1",manual,2,0,0
451,25500,ExecucaoManual_Acao_4_exec_2,0.61,0.7327272727272728,1,1,1,0.32575757575757575,0.3382130237253912,"1,1,1,1,1",manual,2,0,0
450,24000,ExecucaoManual_Acao_4_exec_2,0.62,0.7392929292929293,1,1,1,0.3570707070707071,0.3397274103987885,"1,1,1,1,1",manual,2,0,0
449,22500,ExecucaoManual_Acao_4_exec_2,0.63,0.7425252525252525,1,1,1,0.36414141414141415,0.34881373043917213,"1,1,1,1,1",manual,2,0,0
448,21000,ExecucaoManual_Acao_4_exec_2,0.59999996,0.7355555555555555,1,1,1,0.347979797979798,0.33013629480060575,"1,1,1,1,1",manual,2,0,0
447,19500,ExecucaoManual_Acao_4_exec_2,0.63,0.7350505050505051,1,1,1,0.3338383838383838,0.34174659262998486,"1,1,1,1,1",manual,2,0,0
446,18000,ExecucaoManual_Acao_4_exec_2,0.64,0.7345454545454545,1,0.9994929006085193,0.9989909182643795,0.3388888888888889,0.33568904593639576,"1,1,1,1,1",manual,2,0,0
445,16500,ExecucaoManual_Acao_4_exec_2,0.61,0.7349494949494949,1,1,0.9984863773965691,0.3429292929292929,0.3336698637051994,"1,1,1,1,1",manual,2,0,0
444,15000,ExecucaoManual_Acao_4_exec_2,0.65,0.7288888888888889,0.9954659949622167,0.9954361054766734,0.987891019172553,0.33636363636363636,0.32963149924280666,"1,1,1,1,1",manual,2,0,0
443,13500,ExecucaoManual_Acao_4_exec_2,0.63,0.7358585858585859,0.9979848866498741,1,0.9959636730575177,0.3323232323232323,0.35335689045936397,"1,1,1,1,1",manual,2,0,0
442,12000,ExecucaoManual_Acao_4_exec_2,0.59,0.7266666666666667,0.9874055415617129,0.9913793103448276,0.9778002018163471,0.34040404040404043,0.33669863705199393,"1,1,1,1,1",manual,2,0,0
441,10500,ExecucaoManual_Acao_4_exec_2,0.57,0.6568686868686868,0.87455919395466,0.8711967545638946,0.863773965691221,0.3434343434343434,0.331650681474003,"1,1,1,1,1",manual,2,0,0
440,9000,ExecucaoManual_Acao_4_exec_2,0.42999998,0.5897979797979798,0.7062972292191436,0.802738336713996,0.7749747729566094,0.35353535353535354,0.31196365471983845,"1,1,1,1,1",manual,2,0,0
439,7500,ExecucaoManual_Acao_4_exec_2,0.42,0.545959595959596,0.6468513853904282,0.7155172413793104,0.7043390514631686,0.32323232323232326,0.3402322059565876,"1,1,1,1,1",manual,2,0,0
