passo,acao,concat
0,4,"[0.19202,0.15652,0.16970,0.03996,0.05260]"
1500,4,"[0.54725,0.60242,0.61465,0.16995,0.15984]"
3000,4,"[0.63264,0.62657,0.64697,0.16388,0.17147]"
4500,4,"[0.60889,0.63261,0.66313,0.15529,0.15984]"
6000,2,"[0.66801,0.63211,0.65455,0.24633,0.25948]"
7500,4,"[0.68671,0.65123,0.65960,0.22509,0.23369]"
9000,0,"[0.58060,0.60544,0.65556,0.26960,0.28275]"
10500,2,"[0.68014,0.65828,0.66162,0.27112,0.28427]"
12000,3,"[0.72410,0.67086,0.67576,0.28629,0.27871]"
13500,3,"[0.77059,0.72270,0.71212,0.29793,0.30046]"
15000,1,"[0.81354,0.74987,0.74343,0.30096,0.31158]"
16500,2,"[0.89944,0.86512,0.86515,0.31512,0.33030]"
18000,3,"[0.97575,0.97433,0.99596,0.31917,0.35357]"
19500,3,"[0.99899,0.99396,1.00000,0.32423,0.34244]"
21000,4,"[1.00000,0.99849,0.99949,0.33384,0.33536]"
22500,4,"[0.99949,0.99950,1.00000,0.32271,0.33434]"
24000,4,"[0.99949,0.99748,1.00000,0.33384,0.32018]"
25500,3,"[0.99949,1.00000,1.00000,0.36267,0.35003]"
27000,3,"[1.00000,0.99899,1.00000,0.35003,0.34750]"
28500,4,"[1.00000,1.00000,1.00000,0.34901,0.33839]"
30000,4,"[1.00000,1.00000,1.00000,0.34294,0.31664]"
31500,0,"[0.98888,0.94766,0.97222,0.35812,0.34143]"
33000,0,"[0.99899,0.99950,1.00000,0.34345,0.34143]"
34500,4,"[1.00000,1.00000,1.00000,0.33991,0.32018]"
36000,0,"[1.00000,0.99950,0.99949,0.35862,0.33738]"
37500,0,"[1.00000,1.00000,1.00000,0.33536,0.35660]"
39000,0,"[0.99899,1.00000,1.00000,0.34547,0.34547]"
40500,1,"[1.00000,1.00000,1.00000,0.35862,0.37127]"
42000,4,"[1.00000,1.00000,1.00000,0.33232,0.35761]"
43500,3,"[1.00000,1.00000,1.00000,0.35104,0.34143]"
45000,0,"[1.00000,0.99648,0.99949,0.53515,0.43045]"
46500,3,"[1.00000,1.00000,0.99949,0.54679,0.44411]"
48000,0,"[0.99798,0.99899,0.99899,0.64846,0.54780]"
49500,3,"[1.00000,1.00000,1.00000,0.65250,0.58523]"
51000,3,"[1.00000,1.00000,0.99899,0.63935,0.59231]"
52500,3,"[1.00000,1.00000,1.00000,0.70056,0.62367]"
54000,4,"[1.00000,1.00000,1.00000,0.67375,0.63885]"
55500,0,"[0.99949,1.00000,1.00000,0.79312,0.76277]"
57000,4,"[1.00000,1.00000,1.00000,0.75063,0.71573]"
58500,0,"[1.00000,0.99899,0.99798,0.80728,0.82044]"
60000,0,"[0.99545,1.00000,1.00000,0.85129,0.84067]"
61500,1,"[0.99949,0.99950,1.00000,0.85078,0.85787]"
63000,0,"[1.00000,1.00000,1.00000,0.86343,0.87405]"
64500,2,"[0.99848,0.99950,0.99899,0.86090,0.88265]"
66000,4,"[1.00000,0.99950,1.00000,0.83763,0.84927]"
67500,1,"[1.00000,0.99950,1.00000,0.86697,0.88214]"
69000,2,"[0.99949,1.00000,1.00000,0.86292,0.88619]"
70500,4,"[1.00000,1.00000,1.00000,0.82398,0.86039]"
72000,4,"[1.00000,1.00000,0.99949,0.83612,0.85129]"
73500,1,"[1.00000,1.00000,1.00000,0.89024,0.90440]"
75000,0,"[1.00000,1.00000,1.00000,0.89024,0.91452]"
76500,1,"[1.00000,1.00000,1.00000,0.89428,0.91098]"
78000,1,"[1.00000,1.00000,1.00000,0.89732,0.91502]"
79500,0,"[1.00000,1.00000,1.00000,0.91401,0.91755]"
81000,4,"[1.00000,1.00000,1.00000,0.88113,0.90339]"
82500,3,"[0.99949,1.00000,1.00000,0.89631,0.91351]"
84000,4,"[1.00000,1.00000,1.00000,0.86849,0.88973]"
85500,0,"[1.00000,1.00000,1.00000,0.90845,0.93273]"
87000,4,"[1.00000,1.00000,1.00000,0.88973,0.90187]"
88500,2,"[1.00000,0.99950,1.00000,0.89934,0.92716]"
90000,3,"[1.00000,1.00000,1.00000,0.89479,0.92210]"
91500,2,"[1.00000,1.00000,1.00000,0.91148,0.92514]"
93000,1,"[1.00000,1.00000,1.00000,0.91856,0.93222]"
94500,2,"[1.00000,0.99950,1.00000,0.91654,0.93677]"
96000,4,"[1.00000,1.00000,1.00000,0.89782,0.92160]"
97500,1,"[1.00000,1.00000,1.00000,0.92817,0.94031]"
99000,2,"[1.00000,1.00000,1.00000,0.91856,0.93121]"
100500,4,"[1.00000,1.00000,1.00000,0.91300,0.92160]"
