passo,acao,concat
0,4,"[0.12941,0.15104,0.15167,0.10931,0.10267]"
1500,4,"[0.50151,0.50431,0.51112,0.20901,0.18772]"
3000,2,"[0.50352,0.50532,0.50404,0.26063,0.28888]"
4500,0,"[0.53424,0.50735,0.52983,0.27176,0.31052]"
6000,0,"[0.55438,0.52813,0.55308,0.33907,0.36437]"
7500,4,"[0.67523,0.74050,0.70880,0.31478,0.31756]"
9000,2,"[0.68983,0.78256,0.77907,0.35020,0.36085]"
10500,2,"[0.70141,0.82615,0.80384,0.37551,0.37443]"
12000,2,"[0.74773,0.85251,0.84732,0.39626,0.39205]"
13500,3,"[0.76032,0.88495,0.88979,0.43016,0.40715]"
15000,2,"[0.76989,0.92093,0.92417,0.46053,0.47660]"
16500,4,"[0.90483,0.97111,0.98332,0.45749,0.43030]"
18000,0,"[0.86908,0.97010,0.96562,0.56984,0.60191]"
19500,2,"[0.90785,0.99341,0.99343,0.58654,0.64821]"
21000,3,"[0.95166,0.99949,0.99949,0.66498,0.67690]"
22500,4,"[0.98087,0.99949,1.00000,0.63259,0.63815]"
24000,4,"[0.99648,0.99949,0.99899,0.64322,0.68797]"
25500,1,"[0.99396,1.00000,1.00000,0.83502,0.85153]"
27000,0,"[0.94763,0.99747,0.99697,0.92460,0.90991]"
28500,4,"[0.99396,1.00000,1.00000,0.88816,0.89029]"
30000,4,"[0.99295,1.00000,1.00000,0.87652,0.85556]"
31500,2,"[0.99748,1.00000,1.00000,0.94484,0.89180]"
33000,4,"[1.00000,1.00000,1.00000,0.92358,0.90438]"
34500,2,"[0.99950,1.00000,1.00000,0.95901,0.92803]"
36000,1,"[0.99748,1.00000,1.00000,0.97065,0.95521]"
37500,1,"[0.99547,1.00000,1.00000,0.98279,0.97232]"
39000,0,"[0.98036,0.99949,0.99798,0.97925,0.97836]"
40500,2,"[0.99799,1.00000,1.00000,0.98279,0.97484]"
42000,2,"[0.99849,0.99949,1.00000,0.97976,0.96477]"
43500,2,"[0.99597,0.99949,1.00000,0.97166,0.94363]"
45000,1,"[0.99345,1.00000,1.00000,0.98583,0.98490]"
46500,3,"[0.99698,1.00000,1.00000,0.98026,0.98037]"
48000,1,"[1.00000,1.00000,1.00000,0.98988,0.98490]"
49500,2,"[0.99849,1.00000,1.00000,0.99545,0.98842]"
51000,2,"[0.99698,0.99899,0.98736,0.96407,0.97131]"
52500,3,"[0.99899,1.00000,1.00000,0.97824,0.98239]"
54000,4,"[1.00000,1.00000,1.00000,0.98229,0.95773]"
55500,4,"[0.99899,0.99645,1.00000,0.95040,0.92401]"
57000,3,"[0.99748,1.00000,1.00000,0.98684,0.95672]"
58500,0,"[0.99799,1.00000,1.00000,0.99342,0.99044]"
60000,1,"[1.00000,0.99949,0.99899,0.99747,0.99346]"
61500,3,"[1.00000,1.00000,1.00000,0.99393,0.99597]"
63000,2,"[0.99950,1.00000,1.00000,0.99140,0.99295]"
64500,4,"[1.00000,1.00000,1.00000,0.99241,0.99245]"
66000,0,"[0.99899,1.00000,1.00000,0.99848,0.99547]"
67500,2,"[0.99950,1.00000,1.00000,0.99747,0.99396]"
69000,4,"[0.99748,1.00000,0.99848,0.97874,0.98440]"
70500,4,"[1.00000,1.00000,1.00000,0.97723,0.96175]"
72000,1,"[1.00000,1.00000,0.99949,0.99443,0.98289]"
73500,1,"[1.00000,1.00000,1.00000,1.00000,0.99748]"
75000,3,"[0.99748,1.00000,1.00000,0.99291,0.98691]"
76500,1,"[0.99698,1.00000,1.00000,0.98937,0.98188]"
78000,4,"[1.00000,1.00000,1.00000,0.99494,0.99547]"
79500,3,"[0.99950,1.00000,1.00000,0.99038,0.98742]"
81000,1,"[0.99849,1.00000,1.00000,0.99747,0.99396]"
82500,4,"[1.00000,1.00000,1.00000,0.99190,0.99295]"
84000,4,"[1.00000,1.00000,1.00000,0.98330,0.97182]"
85500,2,"[1.00000,1.00000,1.00000,0.99949,0.98641]"
87000,4,"[1.00000,1.00000,1.00000,0.99393,0.98943]"
88500,0,"[0.99597,1.00000,0.99949,0.99646,0.99497]"
90000,3,"[0.99950,0.99949,1.00000,0.98988,0.98490]"
91500,3,"[1.00000,1.00000,1.00000,0.99747,0.99748]"
93000,4,"[1.00000,1.00000,1.00000,0.97874,0.98037]"
94500,2,"[0.99950,0.99949,0.99899,0.99545,0.99195]"
96000,1,"[1.00000,1.00000,1.00000,0.99696,0.99547]"
97500,0,"[0.99899,1.00000,1.00000,0.99949,0.99698]"
99000,0,"[0.99899,1.00000,0.99949,0.99595,0.99698]"
100500,2,"[1.00000,1.00000,1.00000,0.99848,0.99799]"
