passo,acao,concat
0,0,"[0.01568,0.00506,0.00303,0.16675,0.16189]"
1500,0,"[0.45726,0.57331,0.53971,0.22890,0.21317]"
3000,4,"[0.52807,0.59151,0.60395,0.21273,0.20362]"
4500,1,"[0.50683,0.61628,0.65554,0.31986,0.31523]"
6000,1,"[0.52807,0.65622,0.69904,0.33047,0.31322]"
7500,3,"[0.56803,0.81143,0.86899,0.34108,0.31926]"
9000,2,"[0.64947,0.89939,0.99342,0.34159,0.31171]"
10500,1,"[0.76176,0.98534,0.99899,0.36028,0.34942]"
12000,1,"[0.92817,0.99697,1.00000,0.34866,0.31724]"
13500,1,"[0.99798,0.99949,1.00000,0.34866,0.32881]"
15000,1,"[0.98179,0.99242,0.99595,0.34007,0.33635]"
16500,0,"[0.99899,1.00000,1.00000,0.33805,0.32831]"
18000,4,"[1.00000,1.00000,1.00000,0.35018,0.34339]"
19500,3,"[1.00000,1.00000,0.99949,0.33199,0.33484]"
21000,3,"[1.00000,0.99949,0.98837,0.33401,0.33635]"
22500,0,"[0.99848,1.00000,1.00000,0.34361,0.34842]"
24000,4,"[1.00000,1.00000,1.00000,0.34664,0.34087]"
25500,0,"[1.00000,1.00000,1.00000,0.34209,0.34339]"
27000,2,"[0.99899,1.00000,1.00000,0.34108,0.35143]"
28500,1,"[1.00000,1.00000,1.00000,0.33451,0.34439]"
30000,0,"[1.00000,1.00000,1.00000,0.33148,0.38411]"
31500,2,"[1.00000,1.00000,0.99949,0.36483,0.43942]"
33000,3,"[1.00000,1.00000,1.00000,0.33249,0.45048]"
34500,2,"[1.00000,1.00000,1.00000,0.36281,0.56662]"
36000,1,"[1.00000,0.99949,1.00000,0.39515,0.61538]"
37500,2,"[1.00000,0.99798,1.00000,0.43759,0.66063]"
39000,3,"[1.00000,1.00000,1.00000,0.46084,0.66717]"
40500,1,"[0.99949,1.00000,1.00000,0.55634,0.71745]"
42000,3,"[1.00000,1.00000,1.00000,0.58312,0.74661]"
43500,2,"[0.99848,1.00000,1.00000,0.61041,0.77074]"
45000,3,"[1.00000,0.99949,1.00000,0.63871,0.78934]"
46500,4,"[1.00000,1.00000,1.00000,0.62708,0.77577]"
48000,3,"[1.00000,1.00000,1.00000,0.65083,0.80744]"
49500,0,"[1.00000,0.99848,1.00000,0.73320,0.83610]"
51000,3,"[0.99949,0.99848,0.99949,0.73573,0.84314]"
52500,2,"[1.00000,1.00000,0.99848,0.76655,0.85470]"
54000,2,"[1.00000,0.99949,1.00000,0.74078,0.85822]"
55500,4,"[0.99949,1.00000,1.00000,0.73876,0.85621]"
57000,1,"[0.99848,0.99798,1.00000,0.76655,0.87179]"
58500,0,"[1.00000,1.00000,1.00000,0.80596,0.90196]"
60000,0,"[0.99949,1.00000,0.99949,0.80697,0.90196]"
61500,4,"[0.99949,1.00000,0.99949,0.78373,0.86978]"
63000,4,"[1.00000,1.00000,1.00000,0.76251,0.86828]"
64500,2,"[1.00000,1.00000,1.00000,0.80596,0.90146]"
66000,1,"[0.99949,1.00000,1.00000,0.82668,0.90900]"
67500,1,"[1.00000,1.00000,1.00000,0.83982,0.92056]"
69000,2,"[1.00000,1.00000,1.00000,0.83426,0.91503]"
70500,4,"[1.00000,1.00000,1.00000,0.82466,0.88889]"
72000,4,"[0.99949,1.00000,1.00000,0.76099,0.81800]"
73500,4,"[0.99848,1.00000,1.00000,0.79282,0.86626]"
75000,0,"[1.00000,1.00000,1.00000,0.84487,0.92107]"
76500,0,"[0.99899,1.00000,1.00000,0.85346,0.93414]"
78000,0,"[1.00000,0.99949,1.00000,0.87671,0.93464]"
79500,0,"[0.99949,1.00000,1.00000,0.87620,0.93263]"
81000,2,"[1.00000,1.00000,1.00000,0.85296,0.94168]"
82500,4,"[0.99949,0.99747,1.00000,0.81657,0.88688]"
84000,4,"[0.97016,1.00000,1.00000,0.82617,0.89191]"
85500,0,"[1.00000,1.00000,1.00000,0.89035,0.93414]"
87000,2,"[0.99949,1.00000,1.00000,0.86660,0.93263]"
88500,3,"[1.00000,1.00000,1.00000,0.87367,0.91704]"
90000,3,"[1.00000,1.00000,1.00000,0.86458,0.93062]"
91500,3,"[1.00000,1.00000,1.00000,0.85548,0.91956]"
93000,4,"[1.00000,0.99899,1.00000,0.84740,0.90146]"
94500,2,"[1.00000,1.00000,1.00000,0.86256,0.94017]"
96000,0,"[1.00000,1.00000,1.00000,0.90399,0.95023]"
97500,0,"[0.99949,1.00000,1.00000,0.89692,0.94872]"
99000,4,"[1.00000,1.00000,1.00000,0.87772,0.93967]"
100500,0,"[1.00000,1.00000,1.00000,0.90147,0.95576]"
