passo,acao,concat
0,4,"[0.13675,0.23291,0.23244,0.03551,0.05539]"
1500,4,"[0.50628,0.57772,0.55331,0.16438,0.15962]"
3000,3,"[0.52640,0.60962,0.62001,0.17504,0.20040]"
4500,4,"[0.67873,0.61013,0.65538,0.16692,0.17321]"
6000,1,"[0.67773,0.63342,0.65993,0.23237,0.24673]"
7500,1,"[0.67924,0.62582,0.64881,0.27955,0.27392]"
9000,3,"[0.69030,0.66177,0.65690,0.25774,0.25529]"
10500,3,"[0.72147,0.67241,0.64730,0.27042,0.27241]"
12000,0,"[0.70287,0.66734,0.63770,0.32369,0.30363]"
13500,0,"[0.69130,0.61873,0.66043,0.32319,0.34491]"
15000,3,"[0.81197,0.76101,0.76099,0.33029,0.31571]"
16500,3,"[0.93816,0.89924,0.94896,0.33181,0.32125]"
18000,3,"[0.99799,0.98886,0.99040,0.35109,0.33585]"
19500,2,"[0.99950,0.99747,0.99646,0.33486,0.32578]"
21000,2,"[1.00000,0.99949,1.00000,0.32471,0.33887]"
22500,0,"[0.93012,0.98430,0.93633,0.34044,0.34894]"
24000,0,"[0.99749,0.99494,0.99798,0.33486,0.34945]"
25500,2,"[1.00000,0.99595,0.99040,0.33790,0.33082]"
27000,0,"[0.99950,0.99899,1.00000,0.34652,0.34995]"
28500,3,"[0.99598,0.99949,0.99949,0.35718,0.32931]"
30000,3,"[1.00000,1.00000,1.00000,0.33841,0.31974]"
31500,2,"[1.00000,1.00000,1.00000,0.35769,0.32377]"
33000,3,"[1.00000,1.00000,1.00000,0.33232,0.34743]"
34500,1,"[1.00000,1.00000,1.00000,0.33080,0.33333]"
36000,4,"[1.00000,1.00000,1.00000,0.34145,0.34542]"
37500,1,"[0.99397,0.99848,0.99747,0.33688,0.35146]"
39000,3,"[1.00000,0.99899,0.99798,0.33942,0.34945]"
40500,0,"[0.99548,0.99848,1.00000,0.33587,0.41843]"
42000,2,"[1.00000,1.00000,1.00000,0.32319,0.43605]"
43500,0,"[0.99899,0.98582,0.99798,0.36936,0.50403]"
45000,2,"[1.00000,1.00000,0.99949,0.42669,0.52266]"
46500,0,"[1.00000,1.00000,0.99949,0.53526,0.60121]"
48000,4,"[1.00000,1.00000,1.00000,0.49467,0.55488]"
49500,3,"[1.00000,1.00000,1.00000,0.55860,0.59718]"
51000,3,"[1.00000,0.99949,1.00000,0.57128,0.62638]"
52500,2,"[1.00000,1.00000,0.99949,0.59919,0.65811]"
54000,2,"[1.00000,1.00000,1.00000,0.59919,0.68933]"
55500,2,"[0.99950,1.00000,0.99798,0.63014,0.70896]"
57000,4,"[1.00000,1.00000,1.00000,0.60223,0.70141]"
58500,4,"[1.00000,1.00000,1.00000,0.58752,0.68278]"
60000,4,"[1.00000,1.00000,1.00000,0.56367,0.67573]"
61500,0,"[0.99950,1.00000,1.00000,0.64739,0.77795]"
63000,2,"[1.00000,0.99949,1.00000,0.66768,0.79154]"
64500,4,"[1.00000,0.99949,1.00000,0.65094,0.78953]"
66000,4,"[1.00000,1.00000,1.00000,0.62405,0.75932]"
67500,4,"[0.99950,1.00000,1.00000,0.63318,0.76586]"
69000,1,"[1.00000,1.00000,1.00000,0.70523,0.83938]"
70500,3,"[1.00000,1.00000,1.00000,0.70573,0.85096]"
72000,0,"[1.00000,1.00000,0.99949,0.77575,0.86203]"
73500,2,"[1.00000,1.00000,1.00000,0.78184,0.86757]"
75000,4,"[1.00000,1.00000,1.00000,0.76509,0.86455]"
76500,3,"[1.00000,1.00000,0.99949,0.77372,0.85750]"
78000,3,"[1.00000,1.00000,0.99949,0.78640,0.85851]"
79500,2,"[1.00000,1.00000,1.00000,0.81025,0.87613]"
81000,4,"[1.00000,1.00000,1.00000,0.80771,0.85801]"
82500,4,"[1.00000,1.00000,1.00000,0.79249,0.86858]"
84000,4,"[1.00000,1.00000,1.00000,0.76053,0.85196]"
85500,2,"[1.00000,1.00000,1.00000,0.82090,0.89325]"
87000,0,"[1.00000,1.00000,1.00000,0.83156,0.90483]"
88500,2,"[1.00000,1.00000,1.00000,0.84323,0.91188]"
90000,2,"[1.00000,1.00000,1.00000,0.83968,0.88922]"
91500,3,"[0.99950,1.00000,1.00000,0.85287,0.89980]"
93000,2,"[1.00000,1.00000,1.00000,0.85033,0.90836]"
94500,3,"[0.99950,0.99949,1.00000,0.85642,0.91641]"
96000,3,"[1.00000,1.00000,1.00000,0.85693,0.90685]"
97500,2,"[0.99950,1.00000,1.00000,0.85591,0.90483]"
99000,0,"[1.00000,1.00000,1.00000,0.86251,0.92095]"
100500,4,"[1.00000,1.00000,1.00000,0.86403,0.92296]"
