passo,acao,concat
0,3,"[0.25568,0.12380,0.18081,0.03692,0.04451]"
1500,3,"[0.49520,0.50931,0.48485,0.19423,0.20435]"
3000,2,"[0.58868,0.51334,0.49646,0.32575,0.31462]"
4500,0,"[0.55735,0.49975,0.54495,0.36520,0.39858]"
6000,1,"[0.56998,0.57272,0.60707,0.37633,0.45878]"
7500,1,"[0.56392,0.69149,0.72374,0.43096,0.51796]"
9000,1,"[0.59373,0.74585,0.75505,0.48053,0.55640]"
10500,3,"[0.68722,0.88475,0.90051,0.51037,0.55235]"
12000,1,"[0.71147,0.95219,0.95556,0.57511,0.65099]"
13500,1,"[0.69682,0.98088,0.99192,0.66818,0.76075]"
15000,3,"[0.78221,0.99849,0.99798,0.69702,0.76530]"
16500,3,"[0.84689,0.99648,0.99848,0.70764,0.78705]"
18000,2,"[0.91410,0.99748,0.99949,0.81942,0.82145]"
19500,0,"[0.87266,0.98088,0.99798,0.87506,0.90389]"
21000,2,"[0.96059,0.99950,1.00000,0.91856,0.90238]"
22500,2,"[0.98838,0.99899,1.00000,0.93374,0.92059]"
24000,1,"[0.98535,1.00000,1.00000,0.94689,0.93424]"
25500,2,"[0.97676,0.99950,0.99899,0.94133,0.92463]"
27000,1,"[0.97928,0.99295,0.99545,0.95701,0.95043]"
28500,4,"[0.99949,1.00000,1.00000,0.93930,0.91603]"
30000,2,"[0.99798,0.99950,0.99697,0.94588,0.93930]"
31500,1,"[0.98787,1.00000,0.99949,0.97724,0.96510]"
33000,1,"[0.99697,1.00000,1.00000,0.98128,0.97218]"
34500,2,"[0.99495,1.00000,1.00000,0.97876,0.94740]"
36000,0,"[0.98383,0.99799,0.99899,0.98078,0.97066]"
37500,4,"[0.98535,1.00000,1.00000,0.96611,0.94133]"
39000,2,"[0.99848,1.00000,1.00000,0.99241,0.96560]"
40500,1,"[0.99444,0.99950,0.99949,0.98735,0.98483]"
42000,3,"[0.99899,1.00000,1.00000,0.98128,0.97926]"
43500,4,"[1.00000,1.00000,0.99949,0.97167,0.96105]"
45000,2,"[1.00000,1.00000,1.00000,0.99342,0.98533]"
46500,4,"[1.00000,1.00000,0.99949,0.97926,0.94942]"
48000,4,"[1.00000,1.00000,1.00000,0.95498,0.95802]"
49500,4,"[0.99899,1.00000,1.00000,0.95650,0.94790]"
51000,0,"[0.99747,1.00000,1.00000,0.98483,0.98887]"
52500,0,"[0.98838,0.99950,0.99899,0.98786,0.99191]"
54000,0,"[0.98939,0.99899,1.00000,0.99697,0.99545]"
55500,0,"[0.99646,1.00000,0.99949,0.99899,0.99241]"
57000,1,"[0.99848,1.00000,1.00000,0.99747,0.99595]"
58500,1,"[0.98888,1.00000,1.00000,0.99646,0.99444]"
60000,0,"[0.99495,0.99899,1.00000,0.99949,0.99646]"
61500,2,"[1.00000,1.00000,1.00000,0.99292,0.98735]"
63000,2,"[1.00000,0.99899,0.99192,0.99697,0.99292]"
64500,0,"[0.98434,1.00000,0.99848,0.99444,0.99747]"
66000,4,"[1.00000,1.00000,1.00000,0.99140,0.97926]"
67500,4,"[0.99899,1.00000,1.00000,0.98179,0.95903]"
69000,2,"[0.99949,0.99950,0.99747,0.98837,0.97825]"
70500,3,"[1.00000,1.00000,1.00000,0.99545,0.99292]"
72000,4,"[1.00000,1.00000,1.00000,0.97572,0.97774]"
73500,4,"[1.00000,1.00000,1.00000,0.99191,0.98432]"
75000,4,"[1.00000,1.00000,1.00000,0.96915,0.94942]"
76500,0,"[0.99697,0.99950,0.99848,0.99342,0.99545]"
78000,2,"[0.99848,0.99950,0.99949,0.99393,0.99444]"
79500,2,"[0.99848,1.00000,1.00000,0.99292,0.99342]"
81000,2,"[0.99949,1.00000,1.00000,0.99342,0.99444]"
82500,1,"[0.99949,1.00000,1.00000,0.99444,0.99444]"
84000,2,"[0.99646,1.00000,1.00000,0.99798,0.99393]"
85500,2,"[0.99899,1.00000,1.00000,0.99595,0.98381]"
87000,3,"[0.98989,1.00000,1.00000,0.98786,0.98887]"
88500,4,"[0.99949,0.99899,0.99899,0.98483,0.97572]"
90000,0,"[0.99646,1.00000,1.00000,0.99747,0.99545]"
91500,4,"[1.00000,1.00000,1.00000,0.99697,0.99646]"
93000,2,"[1.00000,1.00000,1.00000,0.99747,0.99798]"
94500,4,"[0.99899,1.00000,1.00000,0.98432,0.98584]"
96000,4,"[1.00000,1.00000,1.00000,0.97420,0.97774]"
97500,4,"[0.99949,1.00000,1.00000,0.98078,0.94992]"
99000,0,"[0.99949,1.00000,0.99949,0.99848,0.99848]"
100500,0,"[1.00000,1.00000,1.00000,1.00000,0.99949]"
