passo,acao,concat
0,1,"[0.06704,0.15974,0.17374,0.09596,0.09375]"
1500,1,"[0.53579,0.59331,0.56414,0.19646,0.20212]"
3000,0,"[0.50706,0.58114,0.59293,0.32323,0.30494]"
4500,3,"[0.52621,0.60953,0.61162,0.32121,0.31552]"
6000,2,"[0.54032,0.68813,0.71313,0.32222,0.32308]"
7500,2,"[0.64264,0.75203,0.75707,0.34091,0.33770]"
9000,4,"[0.84375,0.96957,0.98081,0.33232,0.31603]"
10500,0,"[0.75958,0.91531,0.96768,0.33182,0.32611]"
12000,4,"[0.99496,0.99848,0.99848,0.34495,0.31149]"
13500,1,"[0.99798,0.99594,0.99697,0.34091,0.33266]"
15000,3,"[1.00000,1.00000,1.00000,0.33131,0.34073]"
16500,4,"[1.00000,1.00000,1.00000,0.31970,0.32762]"
18000,1,"[1.00000,1.00000,0.99949,0.33535,0.33669]"
19500,2,"[0.98236,0.99848,0.99798,0.33283,0.33266]"
21000,4,"[1.00000,0.99949,1.00000,0.32121,0.33921]"
22500,4,"[1.00000,1.00000,1.00000,0.34141,0.33619]"
24000,4,"[0.99950,1.00000,1.00000,0.34798,0.34073]"
25500,0,"[0.99899,1.00000,1.00000,0.34242,0.34728]"
27000,2,"[1.00000,1.00000,1.00000,0.34646,0.32661]"
28500,0,"[1.00000,1.00000,1.00000,0.33434,0.34173]"
30000,1,"[1.00000,1.00000,1.00000,0.33838,0.33669]"
31500,3,"[1.00000,1.00000,1.00000,0.33333,0.33921]"
33000,2,"[1.00000,1.00000,1.00000,0.35202,0.32813]"
34500,1,"[1.00000,0.99594,0.99394,0.33434,0.34829]"
36000,4,"[1.00000,0.99899,1.00000,0.34293,0.34123]"
37500,4,"[1.00000,1.00000,1.00000,0.32323,0.35030]"
39000,2,"[1.00000,0.99949,0.98939,0.34141,0.34879]"
40500,1,"[1.00000,1.00000,1.00000,0.35303,0.38810]"
42000,0,"[0.99899,0.99696,0.99949,0.37323,0.41230]"
43500,2,"[1.00000,1.00000,1.00000,0.39141,0.46371]"
45000,3,"[1.00000,1.00000,1.00000,0.41566,0.47984]"
46500,1,"[0.99950,1.00000,0.99949,0.45303,0.53831]"
48000,0,"[1.00000,0.99797,0.99899,0.52576,0.65827]"
49500,2,"[1.00000,1.00000,0.99949,0.54646,0.65877]"
51000,2,"[1.00000,1.00000,1.00000,0.56818,0.68649]"
52500,1,"[1.00000,1.00000,1.00000,0.60303,0.71270]"
54000,2,"[1.00000,1.00000,1.00000,0.61263,0.72429]"
55500,1,"[0.99950,0.99949,1.00000,0.63737,0.75806]"
57000,3,"[1.00000,1.00000,1.00000,0.63838,0.76159]"
58500,3,"[1.00000,1.00000,1.00000,0.64949,0.76310]"
60000,4,"[1.00000,1.00000,1.00000,0.62980,0.77167]"
61500,1,"[0.99899,1.00000,0.99949,0.71313,0.82661]"
63000,4,"[1.00000,1.00000,1.00000,0.68687,0.79788]"
64500,4,"[1.00000,0.99949,1.00000,0.67879,0.77823]"
66000,4,"[1.00000,1.00000,1.00000,0.65707,0.78881]"
67500,2,"[1.00000,1.00000,1.00000,0.73030,0.82913]"
69000,2,"[1.00000,1.00000,1.00000,0.76313,0.84929]"
70500,3,"[1.00000,1.00000,1.00000,0.77778,0.85383]"
72000,3,"[1.00000,1.00000,1.00000,0.78737,0.85081]"
73500,0,"[1.00000,1.00000,0.99949,0.81869,0.88659]"
75000,4,"[1.00000,1.00000,1.00000,0.81717,0.86946]"
76500,3,"[1.00000,0.99949,1.00000,0.81061,0.86391]"
78000,0,"[0.99950,0.99949,1.00000,0.82626,0.88710]"
79500,4,"[1.00000,1.00000,1.00000,0.81970,0.87651]"
81000,2,"[1.00000,1.00000,1.00000,0.83283,0.87450]"
82500,2,"[0.99950,1.00000,1.00000,0.82828,0.89970]"
84000,0,"[1.00000,1.00000,1.00000,0.86010,0.91179]"
85500,4,"[1.00000,1.00000,1.00000,0.84192,0.90171]"
87000,3,"[1.00000,1.00000,1.00000,0.84495,0.89113]"
88500,0,"[1.00000,1.00000,0.99899,0.85960,0.90625]"
90000,1,"[1.00000,1.00000,1.00000,0.88030,0.92490]"
91500,1,"[1.00000,1.00000,1.00000,0.86919,0.91734]"
93000,0,"[0.99950,1.00000,1.00000,0.88990,0.92339]"
94500,0,"[1.00000,1.00000,1.00000,0.90960,0.93498]"
96000,2,"[0.99950,1.00000,1.00000,0.89394,0.93196]"
97500,3,"[0.99950,1.00000,1.00000,0.87273,0.91986]"
99000,1,"[1.00000,1.00000,1.00000,0.88030,0.92490]"
100500,1,"[1.00000,0.99949,1.00000,0.90606,0.92792]"
