passo,acao,concat
0,1,"[0.03840,0.21590,0.25404,0.06727,0.05210]"
1500,1,"[0.51996,0.49472,0.50152,0.31664,0.29439]"
3000,3,"[0.57959,0.71062,0.68283,0.30400,0.28326]"
4500,1,"[0.65488,0.74082,0.74848,0.36267,0.33687]"
6000,4,"[0.76099,0.82687,0.80253,0.34294,0.29489]"
7500,3,"[0.76655,0.84399,0.84192,0.37178,0.34648]"
9000,3,"[0.79384,0.83895,0.84646,0.37178,0.33182]"
10500,1,"[0.80697,0.85103,0.83586,0.45422,0.40263]"
12000,1,"[0.78878,0.84399,0.84697,0.51088,0.43905]"
13500,1,"[0.81203,0.85254,0.84949,0.53111,0.50986]"
15000,0,"[0.79889,0.85103,0.84444,0.60496,0.55336]"
16500,2,"[0.81506,0.88274,0.88838,0.63480,0.62367]"
18000,3,"[0.85548,0.92149,0.91970,0.66566,0.63328]"
19500,4,"[0.90197,0.92602,0.92323,0.65706,0.62114]"
21000,0,"[0.86609,0.91847,0.91515,0.75266,0.73849]"
22500,4,"[0.92016,0.92350,0.92121,0.73546,0.69095]"
24000,0,"[0.89540,0.92451,0.91515,0.77946,0.75670]"
25500,2,"[0.88782,0.92602,0.90960,0.78149,0.76935]"
27000,3,"[0.92623,0.92300,0.92424,0.78907,0.77238]"
28500,2,"[0.91359,0.93558,0.93131,0.79565,0.75417]"
30000,4,"[0.91612,0.92904,0.91313,0.76682,0.73040]"
31500,3,"[0.91157,0.93206,0.92778,0.79464,0.73596]"
33000,0,"[0.91006,0.92652,0.92879,0.82398,0.80577]"
34500,2,"[0.93178,0.93457,0.92020,0.82600,0.81993]"
36000,4,"[0.92370,0.94967,0.94040,0.82549,0.80172]"
37500,0,"[0.90551,0.96427,0.94141,0.90086,0.86394]"
39000,4,"[0.98080,0.99950,0.99949,0.87051,0.83915]"
40500,1,"[0.97979,0.99950,0.99798,0.93930,0.89226]"
42000,1,"[0.98737,0.99950,0.99899,0.95802,0.92767]"
43500,3,"[0.99697,1.00000,0.99899,0.95397,0.91958]"
45000,1,"[0.99343,0.99950,0.99798,0.97876,0.94284]"
46500,0,"[0.99192,0.99849,0.99697,0.98837,0.96965]"
48000,3,"[0.99697,0.99849,1.00000,0.96813,0.95296]"
49500,4,"[0.99899,1.00000,0.99949,0.96156,0.90491]"
51000,3,"[0.99899,1.00000,0.99899,0.95498,0.93677]"
52500,2,"[0.99697,1.00000,0.99848,0.98938,0.96004]"
54000,4,"[1.00000,0.99950,0.99949,0.96560,0.93526]"
55500,0,"[0.99646,0.99799,0.99697,0.98584,0.95296]"
57000,4,"[0.99646,1.00000,0.99899,0.97420,0.94790]"
58500,3,"[0.99899,1.00000,1.00000,0.98331,0.94487]"
60000,3,"[0.99747,0.99899,1.00000,0.95701,0.95751]"
61500,2,"[0.99697,1.00000,0.99949,0.99191,0.97521]"
63000,1,"[0.99899,1.00000,1.00000,0.99697,0.98078]"
64500,4,"[0.99242,1.00000,0.99949,0.97572,0.95195]"
66000,0,"[0.99646,1.00000,0.99899,0.99595,0.98988]"
67500,3,"[0.99848,1.00000,1.00000,0.99090,0.97977]"
69000,4,"[0.99798,0.99950,0.99949,0.97420,0.95448]"
70500,1,"[1.00000,0.99950,0.99949,0.99595,0.98432]"
72000,3,"[0.99798,1.00000,1.00000,0.98786,0.98331]"
73500,0,"[0.99848,0.99950,1.00000,0.99949,0.99241]"
75000,4,"[1.00000,1.00000,1.00000,0.99444,0.98685]"
76500,1,"[0.99899,0.99950,0.99949,0.99342,0.98887]"
78000,0,"[0.99899,0.99899,0.99747,0.99090,0.99393]"
79500,3,"[0.99394,0.99899,0.99949,0.98432,0.97774]"
81000,2,"[1.00000,1.00000,1.00000,0.99545,0.99039]"
82500,0,"[0.99949,0.99950,0.99899,0.99949,0.99494]"
84000,2,"[0.99949,1.00000,1.00000,0.99747,0.99393]"
85500,0,"[1.00000,1.00000,0.99949,0.99899,0.99798]"
87000,2,"[1.00000,1.00000,0.99949,0.99848,0.99494]"
88500,4,"[1.00000,1.00000,1.00000,0.99697,0.98887]"
90000,0,"[0.99747,1.00000,1.00000,0.99545,0.99646]"
91500,0,"[0.99444,0.99950,1.00000,0.99899,0.99595]"
93000,2,"[1.00000,0.99899,1.00000,0.99241,0.99140]"
94500,3,"[0.99949,1.00000,0.99949,0.99545,0.98938]"
96000,1,"[0.99798,1.00000,1.00000,0.99798,0.99140]"
97500,0,"[0.99899,1.00000,1.00000,0.99595,0.98381]"
99000,1,"[0.99596,0.99950,0.99949,0.99848,0.99444]"
100500,4,"[1.00000,1.00000,0.99899,0.98735,0.98584]"
