passo,acao,concat
0,3,"[0.07925,0.22088,0.21602,0.06461,0.05850]"
1500,3,"[0.63251,0.57892,0.61308,0.18173,0.17953]"
3000,3,"[0.58001,0.58396,0.63337,0.17870,0.17600]"
4500,3,"[0.66532,0.60817,0.63793,0.23069,0.22895]"
6000,3,"[0.68652,0.64902,0.65314,0.23826,0.23197]"
7500,3,"[0.69510,0.65961,0.71704,0.23523,0.20171]"
9000,3,"[0.71630,0.69440,0.76217,0.24382,0.23147]"
10500,3,"[0.78647,0.79829,0.86156,0.28319,0.25214]"
12000,3,"[0.91974,0.95663,0.98124,0.33115,0.31165]"
13500,3,"[0.99495,0.99597,0.99949,0.33064,0.33384]"
15000,3,"[0.99950,0.99950,0.99949,0.34175,0.33838]"
16500,3,"[0.96265,0.99546,0.99493,0.32963,0.31467]"
18000,3,"[0.99950,1.00000,0.99949,0.33216,0.33737]"
19500,3,"[1.00000,1.00000,0.99899,0.32559,0.33132]"
21000,3,"[1.00000,1.00000,0.99949,0.33518,0.32980]"
22500,3,"[1.00000,0.99748,0.99899,0.35083,0.32829]"
24000,3,"[1.00000,1.00000,1.00000,0.34124,0.35300]"
25500,3,"[1.00000,0.99445,0.98935,0.36143,0.33132]"
27000,3,"[0.99950,1.00000,1.00000,0.34629,0.33787]"
28500,3,"[1.00000,1.00000,1.00000,0.33165,0.33737]"
30000,3,"[1.00000,1.00000,1.00000,0.33367,0.33838]"
31500,3,"[1.00000,1.00000,1.00000,0.34679,0.32627]"
33000,3,"[1.00000,1.00000,1.00000,0.34730,0.33081]"
34500,3,"[1.00000,1.00000,1.00000,0.34730,0.34997]"
36000,3,"[1.00000,1.00000,1.00000,0.33872,0.34594]"
37500,3,"[1.00000,0.99899,1.00000,0.34023,0.33333]"
39000,3,"[1.00000,1.00000,1.00000,0.34124,0.33485]"
40500,3,"[1.00000,1.00000,1.00000,0.33670,0.33232]"
42000,3,"[1.00000,1.00000,1.00000,0.34932,0.34291]"
43500,3,"[1.00000,1.00000,1.00000,0.33619,0.34594]"
45000,3,"[1.00000,1.00000,1.00000,0.34679,0.34846]"
46500,3,"[1.00000,1.00000,1.00000,0.34881,0.33938]"
48000,3,"[1.00000,1.00000,1.00000,0.36396,0.34947]"
49500,3,"[1.00000,1.00000,1.00000,0.36648,0.35653]"
51000,3,"[1.00000,1.00000,1.00000,0.35487,0.37620]"
52500,3,"[1.00000,1.00000,1.00000,0.37355,0.36510]"
54000,3,"[1.00000,1.00000,1.00000,0.36194,0.39133]"
55500,3,"[1.00000,1.00000,1.00000,0.35487,0.41553]"
57000,3,"[1.00000,1.00000,1.00000,0.40434,0.44024]"
58500,3,"[0.99950,1.00000,1.00000,0.41595,0.43974]"
60000,3,"[1.00000,1.00000,1.00000,0.48107,0.48361]"
61500,3,"[1.00000,1.00000,1.00000,0.52246,0.53001]"
63000,3,"[1.00000,1.00000,1.00000,0.61080,0.55623]"
64500,3,"[1.00000,1.00000,1.00000,0.65018,0.60918]"
66000,3,"[1.00000,1.00000,1.00000,0.70116,0.64246]"
67500,3,"[1.00000,1.00000,1.00000,0.73195,0.64347]"
69000,3,"[0.99950,1.00000,1.00000,0.76880,0.67524]"
70500,3,"[1.00000,1.00000,1.00000,0.78950,0.71306]"
72000,3,"[1.00000,0.99950,1.00000,0.78193,0.73071]"
73500,3,"[1.00000,1.00000,1.00000,0.80818,0.77307]"
75000,3,"[1.00000,1.00000,1.00000,0.81726,0.80383]"
76500,3,"[1.00000,1.00000,1.00000,0.83847,0.82501]"
78000,3,"[1.00000,1.00000,1.00000,0.84402,0.84266]"
79500,3,"[0.99899,1.00000,1.00000,0.82282,0.81694]"
81000,3,"[1.00000,1.00000,1.00000,0.84654,0.84972]"
82500,3,"[1.00000,1.00000,1.00000,0.84654,0.84468]"
84000,3,"[1.00000,1.00000,1.00000,0.85714,0.85577]"
85500,3,"[1.00000,1.00000,1.00000,0.84705,0.85577]"
87000,3,"[1.00000,1.00000,0.99848,0.85664,0.84216]"
88500,3,"[1.00000,1.00000,1.00000,0.85411,0.88149]"
90000,3,"[1.00000,1.00000,1.00000,0.87481,0.86485]"
91500,3,"[1.00000,1.00000,1.00000,0.88137,0.87292]"
93000,3,"[1.00000,1.00000,1.00000,0.87834,0.89511]"
94500,3,"[1.00000,1.00000,1.00000,0.87834,0.88301]"
96000,3,"[1.00000,1.00000,1.00000,0.88339,0.88452]"
97500,3,"[1.00000,1.00000,0.99949,0.88541,0.89511]"
99000,3,"[0.99950,1.00000,1.00000,0.85967,0.88855]"
100500,3,"[1.00000,1.00000,1.00000,0.89349,0.88250]"
