passo,acao,concat
0,0,"[0.18296,0.10852,0.12020,0.06263,0.06804]"
1500,0,"[0.47480,0.58012,0.55253,0.19697,0.21925]"
3000,0,"[0.49546,0.56034,0.58434,0.32424,0.31754]"
4500,0,"[0.49395,0.59331,0.59141,0.36212,0.33972]"
6000,3,"[0.49597,0.66684,0.65101,0.31717,0.33266]"
7500,1,"[0.50756,0.69473,0.72576,0.33081,0.31804]"
9000,3,"[0.51008,0.91684,0.87677,0.33333,0.32258]"
10500,4,"[0.56250,0.99645,0.99747,0.33333,0.33871]"
12000,0,"[0.55040,0.99189,0.98283,0.31768,0.33921]"
13500,1,"[0.82913,0.99848,0.99899,0.35051,0.34325]"
15000,1,"[0.98841,0.99239,0.98838,0.35707,0.34073]"
16500,1,"[0.98085,0.99949,0.99848,0.36162,0.34476]"
18000,3,"[1.00000,1.00000,1.00000,0.35859,0.34526]"
19500,4,"[1.00000,1.00000,1.00000,0.32677,0.34073]"
21000,2,"[1.00000,1.00000,1.00000,0.33182,0.34375]"
22500,0,"[0.99899,1.00000,0.99949,0.34646,0.36845]"
24000,4,"[1.00000,1.00000,1.00000,0.32222,0.34375]"
25500,4,"[1.00000,1.00000,1.00000,0.34444,0.34677]"
27000,1,"[1.00000,1.00000,1.00000,0.34646,0.35585]"
28500,1,"[1.00000,1.00000,1.00000,0.34495,0.41633]"
30000,2,"[1.00000,1.00000,1.00000,0.35505,0.44506]"
31500,0,"[0.99798,0.99696,0.99899,0.38687,0.51663]"
33000,0,"[0.99798,0.99949,0.99747,0.41616,0.61593]"
34500,1,"[0.99899,1.00000,0.99899,0.45455,0.66885]"
36000,2,"[1.00000,0.99949,0.99899,0.48283,0.69758]"
37500,1,"[0.99950,1.00000,1.00000,0.53687,0.76310]"
39000,3,"[1.00000,1.00000,1.00000,0.52071,0.77722]"
40500,1,"[1.00000,0.99949,0.99949,0.57525,0.80948]"
42000,3,"[1.00000,1.00000,1.00000,0.59293,0.81351]"
43500,1,"[1.00000,0.99899,1.00000,0.62525,0.84577]"
45000,1,"[1.00000,1.00000,1.00000,0.64747,0.85030]"
46500,0,"[0.99899,0.99848,0.99545,0.67374,0.86542]"
48000,4,"[1.00000,1.00000,1.00000,0.64394,0.85181]"
49500,3,"[1.00000,1.00000,1.00000,0.66919,0.87298]"
51000,1,"[1.00000,1.00000,0.99949,0.71768,0.88306]"
52500,2,"[1.00000,1.00000,1.00000,0.71010,0.87752]"
54000,0,"[1.00000,0.99949,1.00000,0.74040,0.87651]"
55500,2,"[1.00000,1.00000,1.00000,0.73737,0.88911]"
57000,0,"[0.99950,0.99899,1.00000,0.76768,0.89718]"
58500,0,"[0.99748,1.00000,1.00000,0.77273,0.90575]"
60000,0,"[0.99950,0.99949,1.00000,0.79242,0.91079]"
61500,3,"[1.00000,1.00000,1.00000,0.76768,0.90222]"
63000,1,"[1.00000,1.00000,1.00000,0.78636,0.91079]"
64500,1,"[1.00000,0.99899,0.99949,0.79444,0.91734]"
66000,1,"[0.99950,0.99899,1.00000,0.78535,0.90675]"
67500,4,"[0.99950,1.00000,1.00000,0.75505,0.89869]"
69000,2,"[1.00000,1.00000,1.00000,0.79192,0.92087]"
70500,3,"[1.00000,1.00000,1.00000,0.80202,0.90524]"
72000,4,"[1.00000,1.00000,1.00000,0.77020,0.89466]"
73500,3,"[1.00000,1.00000,1.00000,0.79141,0.90726]"
75000,4,"[1.00000,1.00000,1.00000,0.75000,0.88911]"
76500,3,"[0.99950,0.99949,1.00000,0.77121,0.90423]"
78000,3,"[1.00000,1.00000,1.00000,0.81010,0.91331]"
79500,4,"[0.99950,1.00000,0.99848,0.74949,0.87147]"
81000,1,"[1.00000,1.00000,1.00000,0.81465,0.93095]"
82500,0,"[1.00000,0.99949,0.99949,0.81717,0.93296]"
84000,2,"[1.00000,0.99949,0.99949,0.81919,0.92641]"
85500,1,"[1.00000,0.99949,1.00000,0.81566,0.93649]"
87000,1,"[1.00000,1.00000,1.00000,0.84242,0.94052]"
88500,1,"[1.00000,1.00000,1.00000,0.83687,0.94556]"
90000,2,"[0.99899,1.00000,1.00000,0.84697,0.95363]"
91500,0,"[1.00000,1.00000,1.00000,0.83182,0.95060]"
93000,2,"[1.00000,1.00000,1.00000,0.84192,0.94103]"
94500,4,"[1.00000,1.00000,0.99899,0.83283,0.92742]"
96000,0,"[1.00000,1.00000,1.00000,0.83838,0.94708]"
97500,2,"[1.00000,1.00000,0.99949,0.85303,0.94254]"
99000,3,"[1.00000,0.99949,1.00000,0.83485,0.94204]"
100500,0,"[1.00000,1.00000,1.00000,0.85556,0.94254]"
