passo,acao,concat
0,3,"[0.07486,0.13924,0.15392,0.09752,0.09591]"
1500,3,"[0.59737,0.60000,0.60161,0.17281,0.17466]"
3000,3,"[0.63480,0.61418,0.62626,0.18444,0.19435]"
4500,1,"[0.66920,0.62633,0.62072,0.23951,0.22867]"
6000,0,"[0.62671,0.59190,0.63129,0.33350,0.32004]"
7500,2,"[0.69904,0.67494,0.68863,0.31683,0.31449]"
9000,1,"[0.71826,0.70127,0.72334,0.35169,0.33771]"
10500,4,"[0.82903,0.87544,0.89789,0.33401,0.34679]"
12000,0,"[0.85989,0.86582,0.90493,0.32036,0.35790]"
13500,2,"[0.98634,0.98582,0.99547,0.32643,0.33619]"
15000,0,"[0.94588,0.94835,0.93561,0.35169,0.31499]"
16500,3,"[0.99949,0.99747,1.00000,0.34715,0.31701]"
18000,4,"[0.95953,0.99899,0.99950,0.32087,0.33216]"
19500,4,"[1.00000,1.00000,1.00000,0.34765,0.32963]"
21000,2,"[1.00000,1.00000,1.00000,0.33249,0.33417]"
22500,1,"[1.00000,1.00000,1.00000,0.34664,0.34175]"
24000,1,"[0.99949,0.99291,1.00000,0.34967,0.33014]"
25500,0,"[0.99798,1.00000,1.00000,0.35927,0.33266]"
27000,4,"[1.00000,1.00000,1.00000,0.32491,0.33468]"
28500,4,"[1.00000,0.99949,1.00000,0.31379,0.34932]"
30000,3,"[1.00000,1.00000,1.00000,0.34563,0.32913]"
31500,1,"[1.00000,1.00000,1.00000,0.35675,0.34578]"
33000,2,"[1.00000,1.00000,1.00000,0.33754,0.34881]"
34500,3,"[1.00000,1.00000,1.00000,0.34260,0.35184]"
36000,3,"[0.99798,0.99949,1.00000,0.34159,0.35487]"
37500,1,"[1.00000,1.00000,1.00000,0.35119,0.35689]"
39000,2,"[1.00000,1.00000,1.00000,0.35574,0.33973]"
40500,1,"[1.00000,1.00000,1.00000,0.33502,0.34175]"
42000,0,"[1.00000,1.00000,1.00000,0.34866,0.36194]"
43500,4,"[1.00000,1.00000,1.00000,0.33957,0.35790]"
45000,0,"[1.00000,0.99899,1.00000,0.35270,0.37658]"
46500,1,"[1.00000,1.00000,1.00000,0.38858,0.39727]"
48000,1,"[1.00000,0.99949,1.00000,0.48610,0.41040]"
49500,3,"[1.00000,1.00000,1.00000,0.55786,0.44069]"
51000,4,"[1.00000,0.99899,1.00000,0.50733,0.45028]"
52500,4,"[1.00000,1.00000,1.00000,0.54522,0.44472]"
54000,3,"[1.00000,1.00000,1.00000,0.60030,0.53508]"
55500,0,"[1.00000,1.00000,1.00000,0.65285,0.62342]"
57000,4,"[1.00000,1.00000,1.00000,0.66650,0.60273]"
58500,4,"[1.00000,1.00000,1.00000,0.63820,0.59818]"
60000,3,"[1.00000,0.99595,1.00000,0.66448,0.61383]"
61500,0,"[1.00000,0.99949,0.99899,0.76352,0.71530]"
63000,2,"[1.00000,1.00000,1.00000,0.79131,0.74710]"
64500,2,"[1.00000,0.99899,1.00000,0.80546,0.75770]"
66000,4,"[1.00000,1.00000,1.00000,0.79889,0.76678]"
67500,1,"[1.00000,1.00000,1.00000,0.84184,0.80818]"
69000,3,"[1.00000,1.00000,1.00000,0.82415,0.82029]"
70500,3,"[1.00000,1.00000,1.00000,0.83477,0.83291]"
72000,3,"[1.00000,1.00000,1.00000,0.81809,0.82988]"
73500,0,"[1.00000,1.00000,1.00000,0.87923,0.84856]"
75000,2,"[1.00000,1.00000,1.00000,0.87721,0.86017]"
76500,1,"[1.00000,1.00000,1.00000,0.87923,0.86724]"
78000,1,"[1.00000,1.00000,1.00000,0.88681,0.89096]"
79500,4,"[1.00000,1.00000,1.00000,0.86155,0.85209]"
81000,3,"[1.00000,1.00000,1.00000,0.86155,0.86522]"
82500,1,"[1.00000,1.00000,1.00000,0.89843,0.87633]"
84000,4,"[0.99848,1.00000,1.00000,0.88176,0.86572]"
85500,0,"[1.00000,1.00000,1.00000,0.89439,0.90207]"
87000,0,"[1.00000,1.00000,1.00000,0.90854,0.91116]"
88500,0,"[1.00000,1.00000,0.99950,0.90702,0.92024]"
90000,4,"[1.00000,1.00000,0.99950,0.89894,0.90257]"
91500,0,"[1.00000,1.00000,0.99950,0.91561,0.92479]"
93000,2,"[1.00000,1.00000,1.00000,0.90500,0.91721]"
94500,3,"[1.00000,1.00000,1.00000,0.90399,0.91116]"
96000,1,"[1.00000,1.00000,1.00000,0.91157,0.90156]"
97500,1,"[1.00000,1.00000,1.00000,0.91915,0.92479]"
99000,3,"[0.99949,1.00000,1.00000,0.91460,0.92075]"
100500,3,"[1.00000,1.00000,1.00000,0.91107,0.91974]"
