passo,acao,concat
0,2,"[0.03386,0.21037,0.19343,0.08346,0.08498]"
1500,2,"[0.53562,0.58530,0.58838,0.18816,0.19221]"
3000,2,"[0.58514,0.59738,0.61010,0.26404,0.26859]"
4500,4,"[0.66246,0.63211,0.65657,0.24229,0.23116]"
6000,1,"[0.69277,0.66885,0.66566,0.29540,0.30905]"
7500,4,"[0.75846,0.73276,0.73939,0.29691,0.28376]"
9000,1,"[0.75644,0.79014,0.82475,0.31715,0.29742]"
10500,0,"[0.79030,0.81580,0.85051,0.33586,0.33536]"
12000,0,"[0.80445,0.82587,0.88636,0.35711,0.33434]"
13500,3,"[0.98484,0.97182,0.99545,0.33637,0.33687]"
15000,2,"[0.99747,0.99648,1.00000,0.36115,0.33586]"
16500,4,"[1.00000,1.00000,1.00000,0.33586,0.34193]"
18000,4,"[1.00000,1.00000,1.00000,0.33637,0.34547]"
19500,3,"[0.99596,0.99899,0.99899,0.33940,0.34699]"
21000,1,"[1.00000,0.99950,1.00000,0.35610,0.32777]"
22500,1,"[0.98787,0.98792,0.98990,0.34294,0.31614]"
24000,1,"[1.00000,1.00000,1.00000,0.35154,0.32069]"
25500,4,"[0.99899,1.00000,1.00000,0.35053,0.33991]"
27000,1,"[1.00000,1.00000,1.00000,0.34294,0.32170]"
28500,0,"[1.00000,1.00000,1.00000,0.33434,0.35205]"
30000,4,"[1.00000,1.00000,1.00000,0.32828,0.34345]"
31500,4,"[1.00000,1.00000,1.00000,0.33839,0.33536]"
33000,1,"[1.00000,1.00000,1.00000,0.34851,0.34041]"
34500,3,"[1.00000,1.00000,1.00000,0.34446,0.32524]"
36000,1,"[1.00000,1.00000,1.00000,0.35003,0.32322]"
37500,3,"[1.00000,1.00000,1.00000,0.33536,0.32676]"
39000,1,"[1.00000,1.00000,1.00000,0.35761,0.36216]"
40500,1,"[1.00000,1.00000,1.00000,0.35104,0.33536]"
42000,3,"[1.00000,1.00000,1.00000,0.32625,0.33283]"
43500,2,"[1.00000,0.99899,1.00000,0.34497,0.33839]"
45000,1,"[1.00000,1.00000,1.00000,0.34699,0.35508]"
46500,0,"[0.99747,0.99899,1.00000,0.53364,0.38543]"
48000,0,"[0.99949,0.99950,1.00000,0.60192,0.44815]"
49500,2,"[1.00000,1.00000,1.00000,0.64643,0.50126]"
51000,3,"[1.00000,1.00000,1.00000,0.62924,0.51492]"
52500,2,"[1.00000,1.00000,0.99949,0.66667,0.55893]"
54000,4,"[1.00000,1.00000,1.00000,0.64947,0.57613]"
55500,0,"[0.99848,1.00000,1.00000,0.74355,0.63986]"
57000,3,"[1.00000,1.00000,1.00000,0.74557,0.65756]"
58500,1,"[0.99899,1.00000,0.99798,0.80475,0.71978]"
60000,1,"[1.00000,1.00000,1.00000,0.81740,0.72585]"
61500,1,"[1.00000,1.00000,1.00000,0.84370,0.75013]"
63000,0,"[0.99899,0.99950,1.00000,0.86646,0.78149]"
64500,1,"[1.00000,1.00000,1.00000,0.86191,0.82195]"
66000,0,"[1.00000,1.00000,1.00000,0.88720,0.82296]"
67500,2,"[0.99949,1.00000,1.00000,0.85534,0.82802]"
69000,1,"[1.00000,1.00000,0.99949,0.88467,0.85989]"
70500,2,"[1.00000,1.00000,1.00000,0.88720,0.84421]"
72000,4,"[1.00000,1.00000,1.00000,0.85938,0.85888]"
73500,2,"[0.99949,1.00000,1.00000,0.90086,0.85635]"
75000,3,"[0.99798,1.00000,1.00000,0.89024,0.86090]"
76500,0,"[1.00000,1.00000,1.00000,0.89681,0.87001]"
78000,4,"[1.00000,1.00000,1.00000,0.88973,0.86646]"
79500,2,"[1.00000,1.00000,1.00000,0.90035,0.87962]"
81000,1,"[1.00000,1.00000,1.00000,0.91603,0.89074]"
82500,1,"[1.00000,1.00000,1.00000,0.91755,0.88214]"
84000,1,"[1.00000,1.00000,0.99949,0.90693,0.89681]"
85500,1,"[1.00000,1.00000,1.00000,0.92261,0.89884]"
87000,1,"[1.00000,1.00000,1.00000,0.91351,0.90541]"
88500,2,"[1.00000,1.00000,1.00000,0.90642,0.90389]"
90000,0,"[1.00000,1.00000,1.00000,0.93677,0.91806]"
91500,4,"[1.00000,1.00000,1.00000,0.91401,0.90137]"
93000,3,"[1.00000,1.00000,0.99949,0.90895,0.89428]"
94500,1,"[1.00000,1.00000,1.00000,0.92716,0.91199]"
96000,4,"[1.00000,1.00000,1.00000,0.91958,0.87962]"
97500,3,"[1.00000,1.00000,1.00000,0.91098,0.89378]"
99000,2,"[0.99949,1.00000,0.99798,0.90541,0.91452]"
100500,1,"[1.00000,1.00000,1.00000,0.93728,0.91654]"
