passo,acao,concat
0,4,"[0.24811,0.04932,0.05404,0.06677,0.07031]"
1500,4,"[0.54826,0.61248,0.60455,0.15175,0.16338]"
3000,1,"[0.52097,0.59537,0.59545,0.23318,0.23622]"
4500,1,"[0.51794,0.56467,0.60556,0.26960,0.26909]"
6000,1,"[0.50783,0.59940,0.61616,0.29843,0.27871]"
7500,4,"[0.69126,0.61902,0.62273,0.26302,0.25695]"
9000,2,"[0.69480,0.64419,0.64394,0.27820,0.27921]"
10500,2,"[0.70440,0.68042,0.67374,0.29843,0.28528]"
12000,1,"[0.71652,0.68697,0.64596,0.28832,0.30147]"
13500,4,"[0.79939,0.84147,0.83384,0.27972,0.27871]"
15000,0,"[0.78777,0.81127,0.79596,0.32322,0.32322]"
16500,3,"[0.91966,0.94514,0.96566,0.33485,0.32018]"
18000,4,"[0.99545,0.99849,0.99596,0.33434,0.32119]"
19500,0,"[0.96968,0.96527,0.97222,0.33637,0.34699]"
21000,0,"[0.96867,0.97685,0.96717,0.34092,0.35508]"
22500,2,"[0.99697,0.99950,0.99949,0.33232,0.33536]"
24000,2,"[0.99848,1.00000,1.00000,0.33738,0.34143]"
25500,3,"[0.99141,1.00000,0.99798,0.35407,0.32828]"
27000,3,"[1.00000,0.99849,0.99646,0.34800,0.34193]"
28500,4,"[1.00000,1.00000,1.00000,0.33485,0.34497]"
30000,1,"[1.00000,1.00000,1.00000,0.33789,0.34547]"
31500,4,"[1.00000,1.00000,1.00000,0.33485,0.33333]"
33000,3,"[1.00000,1.00000,1.00000,0.34901,0.32878]"
34500,4,"[1.00000,1.00000,1.00000,0.36166,0.32473]"
36000,3,"[0.99141,1.00000,1.00000,0.35458,0.33333]"
37500,0,"[0.99848,0.99899,0.99899,0.35862,0.36166]"
39000,2,"[1.00000,1.00000,1.00000,0.32979,0.36166]"
40500,1,"[1.00000,0.99950,1.00000,0.34143,0.35306]"
42000,0,"[1.00000,0.99899,1.00000,0.33384,0.39403]"
43500,1,"[1.00000,1.00000,1.00000,0.34497,0.43247]"
45000,0,"[0.99646,0.99849,0.99798,0.37279,0.46181]"
46500,0,"[0.99697,0.99849,0.99848,0.41730,0.53111]"
48000,4,"[1.00000,1.00000,1.00000,0.40668,0.51138]"
49500,1,"[1.00000,1.00000,1.00000,0.45068,0.54527]"
51000,0,"[1.00000,1.00000,1.00000,0.53060,0.61052]"
52500,2,"[1.00000,1.00000,1.00000,0.54628,0.62671]"
54000,4,"[1.00000,1.00000,1.00000,0.54780,0.59079]"
55500,2,"[1.00000,1.00000,1.00000,0.56449,0.63885]"
57000,4,"[1.00000,1.00000,0.99949,0.55842,0.64795]"
58500,0,"[1.00000,1.00000,1.00000,0.61811,0.70207]"
60000,2,"[1.00000,1.00000,1.00000,0.63531,0.72838]"
61500,3,"[0.99899,1.00000,1.00000,0.62165,0.71978]"
63000,2,"[1.00000,1.00000,1.00000,0.67729,0.76277]"
64500,4,"[1.00000,1.00000,1.00000,0.66717,0.74203]"
66000,3,"[1.00000,1.00000,1.00000,0.69904,0.78553]"
67500,3,"[1.00000,1.00000,1.00000,0.70410,0.80931]"
69000,4,"[1.00000,1.00000,0.99949,0.70106,0.79110]"
70500,2,"[1.00000,1.00000,1.00000,0.75569,0.83915]"
72000,2,"[1.00000,1.00000,1.00000,0.77390,0.85281]"
73500,1,"[1.00000,1.00000,1.00000,0.79818,0.86495]"
75000,2,"[1.00000,1.00000,1.00000,0.81588,0.85888]"
76500,0,"[0.99949,1.00000,1.00000,0.84117,0.88821]"
78000,4,"[1.00000,1.00000,1.00000,0.80981,0.87607]"
79500,0,"[1.00000,1.00000,0.99949,0.85382,0.90996]"
81000,4,"[1.00000,1.00000,1.00000,0.83662,0.88720]"
82500,0,"[1.00000,1.00000,0.99949,0.86798,0.90845]"
84000,0,"[1.00000,1.00000,1.00000,0.86950,0.92868]"
85500,0,"[1.00000,1.00000,1.00000,0.87304,0.92514]"
87000,2,"[1.00000,1.00000,1.00000,0.87456,0.92463]"
88500,1,"[1.00000,1.00000,1.00000,0.89226,0.92514]"
90000,1,"[0.99949,1.00000,1.00000,0.89176,0.93323]"
91500,4,"[1.00000,1.00000,1.00000,0.87304,0.91148]"
93000,3,"[1.00000,1.00000,1.00000,0.88569,0.91907]"
94500,4,"[1.00000,1.00000,1.00000,0.86596,0.90086]"
96000,2,"[1.00000,1.00000,1.00000,0.87607,0.93273]"
97500,2,"[1.00000,1.00000,1.00000,0.89074,0.92160]"
99000,0,"[1.00000,1.00000,1.00000,0.90389,0.94031]"
100500,3,"[1.00000,1.00000,0.99949,0.89176,0.93222]"
