4809,100500,ExecucaoManual_Acao_2_exec_2,0.94,0.9677777777777777,0.9994952044422009,0.9994931576279777,1,0.8867639657775541,0.953511874684184,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4808,99000,ExecucaoManual_Acao_2_exec_2,0.95,0.9668686868686869,1,1,1,0.8741821841972823,0.9605861546235472,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4807,97500,ExecucaoManual_Acao_2_exec_2,0.91999996,0.9678787878787879,1,0.9994931576279777,1,0.8812279818822345,0.9590702374936837,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4806,96000,ExecucaoManual_Acao_2_exec_2,0.95,0.9655555555555555,0.9984856133266027,1,0.9994949494949495,0.879214896829391,0.9509853461344113,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4805,94500,ExecucaoManual_Acao_2_exec_2,0.96,0.9651515151515152,0.9994952044422009,1,1,0.8721690991444389,0.954522486104093,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4804,93000,ExecucaoManual_Acao_2_exec_2,0.93,0.9628282828282828,1,0.9994931576279777,1,0.8641167589330649,0.9509853461344113,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4803,91500,ExecucaoManual_Acao_2_exec_2,0.96,0.9648484848484848,1,1,1,0.8731756416708606,0.9514906518443659,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4802,90000,ExecucaoManual_Acao_2_exec_2,0.9,0.9652525252525253,0.9994952044422009,1,1,0.8721690991444389,0.9550277918140475,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4801,88500,ExecucaoManual_Acao_2_exec_2,0.9,0.9648484848484848,0.9994952044422009,1,1,0.8746854554604933,0.9504800404244568,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4800,87000,ExecucaoManual_Acao_2_exec_2,0.90999997,0.9642424242424242,1,1,0.998989898989899,0.8716658278812279,0.9509853461344113,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4799,85500,ExecucaoManual_Acao_2_exec_2,0.9,0.9618181818181818,1,1,0.9994949494949495,0.8550578761952693,0.9550277918140475,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4798,84000,ExecucaoManual_Acao_2_exec_2,0.95,0.961010101010101,0.9994952044422009,1,0.9994949494949495,0.8510317060895822,0.9555330975240021,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4797,82500,ExecucaoManual_Acao_2_exec_2,0.94,0.9611111111111111,0.9989904088844018,0.9994931576279777,1,0.860090588827378,0.9474482061647297,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4796,81000,ExecucaoManual_Acao_2_exec_2,0.9,0.9578787878787879,1,1,1,0.8550578761952693,0.9348155634158666,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4795,79500,ExecucaoManual_Acao_2_exec_2,0.90999997,0.9584848484848485,0.9989904088844018,1,0.998989898989899,0.8585807750377453,0.9363314805457301,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4794,78000,ExecucaoManual_Acao_2_exec_2,0.90999997,0.9567676767676768,0.9994952044422009,0.9994931576279777,0.9984848484848485,0.8500251635631605,0.9368367862556847,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4793,76500,ExecucaoManual_Acao_2_exec_2,0.84999996,0.9601010101010101,0.9994952044422009,1,0.9994949494949495,0.8530447911424258,0.9489641232945932,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4792,75000,ExecucaoManual_Acao_2_exec_2,0.90999997,0.9576767676767677,1,1,0.9994949494949495,0.8500251635631605,0.9393633148054573,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4791,73500,ExecucaoManual_Acao_2_exec_2,0.95,0.954040404040404,0.9994952044422009,1,1,0.8339204831404127,0.9373420919656392,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4790,72000,ExecucaoManual_Acao_2_exec_2,0.91999996,0.9533333333333334,1,0.9994931576279777,0.9994949494949495,0.8399597382989431,0.9282465891864579,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4789,70500,ExecucaoManual_Acao_2_exec_2,0.88,0.9514141414141414,1,0.9984794728839331,1,0.8243583291394061,0.9348155634158666,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4788,69000,ExecucaoManual_Acao_2_exec_2,0.90999997,0.9472727272727273,1,0.9984794728839331,1,0.80926019124308,0.9292572006063669,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4787,67500,ExecucaoManual_Acao_2_exec_2,0.93,0.9495959595959595,0.9974760222110045,1,0.9994949494949495,0.828887770508304,0.922688226376958,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4786,66000,ExecucaoManual_Acao_2_exec_2,0.93,0.9472727272727273,0.9989904088844018,0.9994931576279777,0.9994949494949495,0.8178158027176649,0.9211723092470945,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4785,64500,ExecucaoManual_Acao_2_exec_2,0.9,0.947979797979798,0.9989904088844018,1,0.9994949494949495,0.8268746854554605,0.9151086407276402,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4784,63000,ExecucaoManual_Acao_2_exec_2,0.95,0.9411111111111111,1,1,1,0.7886260694514343,0.9176351692774128,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
4783,61500,ExecucaoManual_Acao_2_exec_2,0.87,0.9442424242424242,0.9994952044422009,1,0.9994949494949495,0.7996980372420734,0.9231935320869126,"0.1,0.1,0.1,0.5,0.5",manual,2,0,0
