passo,acao,concat
0,4,"[0.11521,0.00554,0.00505,0.12443,0.12241]"
1500,4,"[0.48863,0.49874,0.49747,0.19474,0.18816]"
3000,2,"[0.49722,0.50226,0.50960,0.24077,0.24026]"
4500,4,"[0.51440,0.76095,0.73838,0.22812,0.25594]"
6000,3,"[0.55280,0.78712,0.78182,0.30197,0.33182]"
7500,0,"[0.56443,0.76749,0.75606,0.33030,0.35660]"
9000,0,"[0.52148,0.76850,0.76364,0.37430,0.39201]"
10500,4,"[0.62254,0.81530,0.81465,0.34193,0.37026]"
12000,4,"[0.66094,0.83543,0.82727,0.34041,0.35508]"
13500,4,"[0.66852,0.84499,0.82424,0.34699,0.34193]"
15000,4,"[0.73926,0.82889,0.83788,0.33131,0.36065]"
16500,3,"[0.79434,0.84097,0.83586,0.35003,0.36065]"
18000,3,"[0.82163,0.84248,0.85101,0.36419,0.35964]"
19500,3,"[0.84841,0.83744,0.84444,0.40769,0.40364]"
21000,2,"[0.82971,0.83795,0.84899,0.43804,0.42742]"
22500,3,"[0.83729,0.83895,0.83232,0.45169,0.41730]"
24000,4,"[0.84437,0.85657,0.84848,0.44310,0.43197]"
25500,2,"[0.84588,0.84399,0.85404,0.49014,0.45018]"
27000,4,"[0.84841,0.87972,0.86111,0.47344,0.44411]"
28500,3,"[0.85599,0.92652,0.92677,0.51391,0.47547]"
30000,2,"[0.85195,0.95320,0.94394,0.56955,0.51796]"
31500,3,"[0.85144,0.97232,0.96364,0.59838,0.55690]"
33000,2,"[0.84487,0.98541,0.98131,0.63581,0.59636]"
34500,3,"[0.86458,0.98842,0.98636,0.65453,0.63682]"
36000,3,"[0.88934,0.99648,0.99646,0.69499,0.65807]"
37500,3,"[0.91157,0.99547,0.99697,0.73546,0.67881]"
39000,2,"[0.92319,0.99698,0.99798,0.77744,0.73546]"
40500,0,"[0.91208,0.98490,0.98939,0.85078,0.79211]"
42000,3,"[0.93482,0.99799,0.99747,0.83966,0.77845]"
43500,2,"[0.92724,0.99547,0.99697,0.85837,0.80981]"
45000,2,"[0.94138,0.99648,0.99747,0.87759,0.85180]"
46500,3,"[0.94240,0.99899,0.99394,0.89226,0.85230]"
48000,4,"[0.96463,0.99748,0.99899,0.87355,0.81740]"
49500,4,"[0.99141,0.99849,0.99949,0.86495,0.81689]"
51000,4,"[0.99040,0.99899,0.99949,0.81689,0.79868]"
52500,0,"[0.96210,0.99547,0.99596,0.95245,0.90086]"
54000,1,"[0.98838,0.99748,0.99798,0.95903,0.92362]"
55500,0,"[0.98383,0.99547,0.99343,0.95751,0.93323]"
57000,4,"[0.99394,0.99799,0.99798,0.95599,0.89428]"
58500,4,"[0.99444,1.00000,0.99949,0.92059,0.88518]"
60000,3,"[0.99899,0.99899,1.00000,0.94992,0.91098]"
61500,2,"[0.99596,0.99849,0.99646,0.97319,0.93121]"
63000,2,"[0.99747,0.99648,0.99848,0.97977,0.93070]"
64500,3,"[1.00000,1.00000,0.99949,0.97471,0.93323]"
66000,3,"[0.99949,1.00000,1.00000,0.97774,0.94133]"
67500,4,"[0.99293,0.99950,0.99899,0.93424,0.91351]"
69000,4,"[0.99949,1.00000,0.99949,0.93778,0.87607]"
70500,0,"[0.99444,1.00000,0.99899,0.97673,0.96308]"
72000,4,"[0.99848,0.98842,0.99899,0.97521,0.92615]"
73500,4,"[0.99798,0.99899,1.00000,0.95650,0.92008]"
75000,4,"[0.99949,1.00000,0.99949,0.94082,0.91502]"
76500,4,"[0.99596,0.99950,1.00000,0.91300,0.91401]"
78000,0,"[0.99646,0.99849,0.99949,0.99494,0.97521]"
79500,3,"[0.99949,1.00000,1.00000,0.96510,0.94487]"
81000,0,"[0.99646,0.99899,0.99949,0.99393,0.97572]"
82500,4,"[0.99747,0.99950,0.99899,0.98027,0.94385]"
84000,0,"[0.99495,0.99748,0.99848,0.99140,0.98027]"
85500,3,"[0.99949,0.99950,0.99949,0.99039,0.97572]"
87000,1,"[0.99697,0.99950,0.99949,0.98988,0.96662]"
88500,2,"[0.99899,1.00000,0.99949,0.98735,0.97825]"
90000,2,"[0.99949,0.99899,0.99899,0.98988,0.97623]"
91500,2,"[0.99848,1.00000,0.99899,0.99191,0.98078]"
93000,1,"[0.99545,1.00000,0.99949,0.99494,0.98837]"
94500,3,"[0.99899,1.00000,1.00000,0.99646,0.98735]"
96000,1,"[0.99798,1.00000,1.00000,0.99444,0.98027]"
97500,1,"[0.99949,1.00000,1.00000,0.99697,0.98735]"
99000,3,"[0.99949,0.99950,1.00000,0.99444,0.98735]"
100500,3,"[0.99697,0.99899,0.99899,0.98887,0.98027]"
