passo,acao,concat
0,4,"[0.36808,0.02585,0.05308,0.03340,0.03120]"
1500,4,"[0.50856,0.51647,0.49191,0.20243,0.20886]"
3000,0,"[0.51964,0.49873,0.50253,0.30415,0.30901]"
4500,0,"[0.50504,0.51140,0.50152,0.33957,0.33266]"
6000,3,"[0.63948,0.69437,0.65774,0.33502,0.34726]"
7500,3,"[0.66918,0.74759,0.71891,0.32794,0.33518]"
9000,4,"[0.71601,0.75874,0.75733,0.31933,0.32209]"
10500,0,"[0.69235,0.74861,0.71587,0.38917,0.36135]"
12000,1,"[0.75478,0.74759,0.74924,0.38664,0.35128]"
13500,0,"[0.69285,0.73796,0.75025,0.43320,0.38148]"
15000,0,"[0.68882,0.72732,0.73660,0.52783,0.45848]"
16500,1,"[0.76737,0.75874,0.78210,0.59160,0.57927]"
18000,4,"[0.77090,0.88596,0.88777,0.50810,0.49069]"
19500,0,"[0.75076,0.86670,0.86400,0.62905,0.63613]"
21000,3,"[0.75378,0.90522,0.90142,0.62753,0.62909]"
22500,0,"[0.74471,0.84237,0.86148,0.67662,0.67891]"
24000,2,"[0.75176,0.91130,0.91507,0.67611,0.64167]"
25500,3,"[0.76636,0.90573,0.90293,0.68522,0.65778]"
27000,1,"[0.75378,0.91181,0.91355,0.69281,0.70206]"
28500,4,"[0.77241,0.92043,0.92113,0.65536,0.62456]"
30000,1,"[0.76133,0.92397,0.92518,0.69636,0.69854]"
31500,2,"[0.78449,0.92701,0.93074,0.72470,0.71364]"
33000,3,"[0.81974,0.92752,0.92821,0.70597,0.71917]"
34500,2,"[0.82679,0.91789,0.93327,0.73887,0.72421]"
36000,1,"[0.84391,0.91130,0.93124,0.74949,0.74786]"
37500,4,"[0.87009,0.92499,0.92821,0.71356,0.72823]"
39000,4,"[0.87210,0.92955,0.93023,0.65486,0.66281]"
40500,3,"[0.88268,0.92752,0.93883,0.73684,0.71766]"
42000,1,"[0.88318,0.92245,0.93074,0.78036,0.77101]"
43500,0,"[0.87412,0.91992,0.93377,0.80213,0.81077]"
45000,3,"[0.88469,0.92752,0.91860,0.78391,0.79416]"
46500,4,"[0.90282,0.93107,0.92973,0.75658,0.75642]"
48000,3,"[0.90131,0.92803,0.93782,0.77176,0.78259]"
49500,3,"[0.92044,0.92600,0.93782,0.77682,0.77655]"
51000,4,"[0.89627,0.93056,0.93579,0.76164,0.74987]"
52500,2,"[0.91692,0.93563,0.93074,0.81073,0.80775]"
54000,1,"[0.90131,0.93512,0.93579,0.83300,0.83895]"
55500,4,"[0.91793,0.93411,0.94590,0.79504,0.82939]"
57000,1,"[0.91591,0.93259,0.93782,0.84312,0.83392]"
58500,1,"[0.91591,0.93969,0.94034,0.85830,0.86412]"
60000,2,"[0.92447,0.93664,0.94034,0.86083,0.86160]"
61500,3,"[0.92044,0.93563,0.94843,0.87045,0.84399]"
63000,0,"[0.91088,0.93158,0.93984,0.89018,0.88525]"
64500,2,"[0.92044,0.93715,0.93832,0.88310,0.88727]"
66000,1,"[0.90735,0.94627,0.94641,0.90081,0.89834]"
67500,0,"[0.91037,0.93867,0.94135,0.93978,0.90287]"
69000,3,"[0.91893,0.94425,0.94692,0.90992,0.89784]"
70500,2,"[0.92397,0.94577,0.94641,0.91346,0.90840]"
72000,1,"[0.90181,0.94729,0.94034,0.92308,0.86059]"
73500,2,"[0.92598,0.94881,0.94894,0.94079,0.91948]"
75000,2,"[0.92296,0.94577,0.95753,0.93623,0.90891]"
76500,4,"[0.92699,0.95489,0.95096,0.88310,0.88626]"
78000,2,"[0.92951,0.95793,0.95854,0.93522,0.91545]"
79500,1,"[0.92548,0.95388,0.96006,0.94231,0.94112]"
81000,2,"[0.92548,0.95996,0.96006,0.94939,0.93005]"
82500,0,"[0.92749,0.95641,0.95197,0.96609,0.96729]"
84000,0,"[0.91994,0.94932,0.95298,0.96862,0.96074]"
85500,0,"[0.92346,0.94273,0.94489,0.96508,0.96376]"
87000,0,"[0.92699,0.94982,0.95501,0.98026,0.95571]"
88500,2,"[0.93303,0.95692,0.96512,0.96457,0.95974]"
90000,4,"[0.93857,0.97010,0.97725,0.92358,0.93860]"
91500,1,"[0.92497,0.95743,0.95804,0.96711,0.95622]"
93000,3,"[0.93505,0.96148,0.96512,0.94484,0.95722]"
94500,4,"[0.93756,0.96655,0.96764,0.91245,0.85606]"
96000,3,"[0.94814,0.97567,0.97927,0.94130,0.94363]"
97500,1,"[0.94260,0.97263,0.97877,0.96457,0.96880]"
99000,2,"[0.94914,0.97314,0.97118,0.96407,0.96326]"
100500,0,"[0.94209,0.97212,0.97017,0.98381,0.96678]"
